,,,,,
,Preliminary - subject to change,,,,
,,,,,
,Category,Subcategory,Tag,Audio example,Description
,Невербальные звуки,Звуки дыхания и воздуха,[дыхание],breath.mp3,"Нейтральный вдох и выдох — использовать редко, только если звук намеренный и не является частью естественной речи."
,Невербальные звуки,Звуки дыхания и воздуха,[вдох],inhale.mp3,"Слышный вдох воздуха — использовать редко, только если звук намеренный и не является частью естественной речи."
,Невербальные звуки,Звуки дыхания и воздуха,[выдох],exhale.mp3,"Выдох воздуха наружу — использовать редко, только если звук намеренный и не является частью естественной речи."
,Невербальные звуки,Звуки дыхания и воздуха,[вздох],sigh.mp3,"Намеренный, продолжительный выдох.
"
,Невербальные звуки,Звуки дыхания и воздуха,[шмыганье-носом],sniff.mp3,"Короткий вдох через нос — плач, заложенность, подавление эмоций."
,Невербальные звуки,Звуки дыхания и воздуха,[резкий-вздох],gasp.mp3,"Резкий, внезапный вдох — вызван удивлением, страхом или шоком."
,Невербальные звуки,Звуки дыхания и воздуха,[выдувание-воздуха],blow 2.mp3,Выдувание воздуха.
,Невербальные звуки,Смех и его вариации,[смех],laugh.mp3,"Слышный смех любого типа.
"
,Невербальные звуки,Смех и его вариации,[смешок],chuckle.mp3,"Тихий, приглушённый смех — выражает веселье, неловкость или сдержанную реакцию."
,Невербальные звуки,Смех и его вариации,[хихиканье],giggle.mp3,"Лёгкий, высокий смех — часто игривый или застенчивый."
,Невербальные звуки,Смех и его вариации,[фырканье],snort.mp3,"Короткий выброс смеха-выдоха через нос.
"
,Невербальные звуки,Смех и его вариации,[насмешка],scoff.mp3,"Короткий пренебрежительный смешок или выдох, часто с саркастическим оттенком."
,Невербальные звуки,Звуки усилия и эмоциональные возгласы,[кряхтенье],grunt.mp3,"Короткий, низкий вокальный звук усилия или дискомфорта."
,Невербальные звуки,Звуки усилия и эмоциональные возгласы,[стон],groan.mp3,Низкий звук фрустрации или физического напряжения.
,Невербальные звуки,Звуки усилия и эмоциональные возгласы,[плач],cry 2.mp3,Слышный плач.
,Невербальные звуки,Интонационные и невербальные звуки,[напевание],hum-tune.mp3,"Напевание мелодии.
"
,Невербальные звуки,Интонационные и невербальные звуки,[радостный-возглас],whoop 2.mp3,"Высокий, радостный возглас «у-у!» / «вуу!»"
,Невербальные звуки,Интонационные и невербальные звуки,[свист],whistle.mp3,Свист — для музыки или привлечения внимания.
,Невербальные звуки,Щелчки и хлопки ртом,[щелчок-языком],tongue click.mp3,"Резкий щелчок языком, похожий на звук вылетающей пробки от шампанского."
,Невербальные звуки,Щелчки и хлопки ртом,[цоканье-языком],tsk 2.mp3,Щелчок выражения неодобрения или размышления.
,Невербальные звуки,Щелчки и хлопки ртом,[причмокивание],lip smack.mp3,"Звук размыкания губ или смачивания губ — использовать редко, только если звук намеренный и не является частью естественной речи."
,Невербальные звуки,Щелчки и хлопки ртом,[втягивание-воздуха-сквозь-зубы],teeth suck 2.mp3,Резкий всасывающий звук через зубы с широко раскрытым ртом в гримасе.
,Невербальные звуки,Щелчки и хлопки ртом,[вибрация-губами],lip trill.mp3,"Выдувание воздуха для вибрации губ (звук, похожий на мотор лодки или «п-б-б-б-б»)."
,Невербальные звуки,Щелчки и хлопки ртом,[шиканье],shush 2.mp3,Шипение «ш-ш-ш».
,Невербальные звуки,Естественные рефлекторные звуки,[глотание],swallow.mp3,Слышное глотание — часто при нервозности или тревоге.
,Невербальные звуки,Естественные рефлекторные звуки,[прочищение-горла],clear throat.mp3,"Короткий звук прочищения горла, часто перед началом речи."
,Невербальные звуки,Естественные рефлекторные звуки,[кашель],cough.mp3,Звук кашля.
,Невербальные звуки,Естественные рефлекторные звуки,[чихание],sneeze.mp3,Звук чихания.
,Невербальные звуки,Естественные рефлекторные звуки,[зевок],yawn.mp3,Слышный зевок — усталость или скука.
,Невербальные звуки,Естественные рефлекторные звуки,[икота],hiccup 2.mp3,Звук икоты.
,Невербальные звуки,Прочее,[неразборчиво],N/A,"Использовать только в случае, если речь была неразборчивой (например, из-за перекрывающего шума, помех, прерывистого или «глючного» аудио).
Если речь была обрезана, но при этом разборчива, транскрибируйте её как обрезанное слово, например: ""транскри--"""
,Невербальные звуки,Прочее,[другой-звук],N/A,"Любой другой звук, произведённый голосом говорящего, который не входит в данную таксономию.
Фоновые звуки (например, лай собаки) не требуют тегирования."
,Стили речи,,<смех-в-речи> текст </смех-в-речи>,laugh speak.mp3,"Речь со смехом, непосредственно встроенным в слова или перекрывающим их."
,Стили речи,,<речь-нараспев> текст </речь-нараспев>,sing song.mp3,"Речь с музыкальным исполнением, нотами, изменением высоты тона или напевным характером."
,Стили речи,,<протяжная-речь> текст </протяжная-речь>,Elongated but not emphasized.m4a,"Речь, намеренно произнесённая более протяжно."
